event_id,cumulative_total_tokens,reported_last_total_tokens,observed_delta_total_tokens,cumulative_input,reported_last_input,observed_delta_input,cumulative_cached_input,reported_last_cached_input,observed_delta_cached_input,cumulative_cache_write_input,reported_last_cache_write_input,observed_delta_cache_write_input,cumulative_output,reported_last_output,observed_delta_output,cumulative_reasoning_output,reported_last_reasoning_output,observed_delta_reasoning_output
1022,14541079,55731,55731,14422270,54967,54967,13752704,42880,42880,0,0,0,118809,764,764,50063,550,550
1030,14602086,61007,61007,14483064,60794,60794,13807104,54400,54400,0,0,0,119022,213,213,50104,41,41
1038,14673350,71264,71264,14553962,70898,70898,13867776,60672,60672,0,0,0,119388,366,366,50274,170,170
1049,14754963,81613,81613,14634112,80150,80150,13938432,70656,70656,0,0,0,120851,1463,1463,51358,1084,1084
1060,14837092,82129,82129,14715872,81760,81760,14018432,80000,80000,0,0,0,121220,369,369,51406,48,48
1069,14935682,98590,98590,14810055,94183,94183,14099968,81536,81536,0,0,0,125627,4407,4407,52079,673,673
1078,15034560,98878,98878,14908669,98614,98614,14193920,93952,93952,0,0,0,125891,264,264,52132,53,53
1086,15142439,107879,107879,15016281,107612,107612,14292352,98432,98432,0,0,0,126158,267,267,52195,63,63
1093,15251069,108630,108630,15124767,108486,108486,14399744,107392,107392,0,0,0,126302,144,144,52215,20,20
1100,15365532,114463,114463,15238966,114199,114199,14508032,108288,108288,0,0,0,126566,264,264,52401,186,186
1117,15485562,120030,120030,15357005,118039,118039,14622080,114048,114048,0,0,0,128557,1991,1991,54022,1621,1621
1125,15616862,131300,131300,15485719,128714,128714,14739968,117888,117888,0,0,0,131143,2586,2586,54084,62,62
1133,15749962,133100,133100,15618551,132832,132832,14868480,128512,128512,0,0,0,131411,268,268,54256,172,172
1143,15886865,136903,136903,15754164,135613,135613,15001088,132608,132608,0,0,0,132701,1290,1290,54985,729,729
1150,16031817,144952,144952,15898921,144757,144757,15136640,135552,135552,0,0,0,132896,195,195,54999,14,14
1161,16180722,148905,148905,16044903,145982,145982,15281280,144640,144640,0,0,0,135819,2923,2923,55964,965,965
1169,16331500,150778,150778,16193867,148964,148964,15427200,145920,145920,0,0,0,137633,1814,1814,56216,252,252
1180,16486053,154553,154553,16345696,151829,151829,15576064,148864,148864,0,0,0,140357,2724,2724,57768,1552,1552
