NAME L2(11)
NAME L2(11).2
NAME L2(121)M3
NAME M12.2M3
NAME U3(11)M4
NAME U3(11)M5
NAME L2(13)
NAME L2(13).2
NAME L2(16)
NAME L2(16).2
NAME S4(4)M4
NAME L2(16).4
NAME S4(4).2M5
NAME L2(17)
NAME L2(17).2
NAME L2(19)
NAME L2(19).2
NAME L2(23)
NAME L2(23).2
NAME L2(25)
NAME L2(25).2^2
NAME L2(25).2_1
NAME L2(25).2_2
NAME L2(25).2_3
NAME L2(27)
NAME L2(27).2
NAME L2(27).3
NAME L2(27).6
NAME L2(29)
NAME L2(29).2
NAME L2(31)
NAME L2(31).2
NAME L2(32)
NAME L2(32).5
NAME L2(8)
NAME L2(8).3
NAME A9M5
NAME ONM8
NAME 2.L2(49)
NAME 2.L2(49).2_1
NAME Isoclinic(2.L2(49).2_1)
NAME 2.L2(49).2_2
NAME Isoclinic(2.L2(49)x2)
NAME Isoclinic(L2(49).2_3x2)
NAME 4.L2(49).2_3
NAME 2.L2(81)
NAME 2.L2(81).2_1
NAME 2.L2(81).2_2
NAME Isoclinic(2.L2(81).2_2)
NAME Isoclinic(2.L2(81)x2)
NAME Isoclinic(L2(81).2_3x2)
NAME 4.L2(81).2_3
NAME 2.L2(81).4_1
NAME 4.L2(81).4_2
NAME L2(49)
NAME L2(49).2_1
NAME L2(49).2_2
NAME L2(49).2_3
NAME L2(49).2^2
NAME L2(81)
NAME L2(81).2_1
NAME L2(81).2_2
NAME L2(81).2_3
NAME L2(81).2^2
NAME L2(81).4_1
NAME L2(81).4_2
NAME L2(81).(2x4)
NAME 12_1.L3(4)
NAME 12_1.L3(4).2_1
NAME Isoclinic(12_1.L3(4).2_1)
NAME 12_1.L3(4).2_2
NAME Isoclinic(12_1.L3(4).2_2)
NAME 12_1.L3(4).2_3
NAME 12_2.L3(4)
NAME 12_2.L3(4).2_1
NAME Isoclinic(12_2.L3(4).2_1)
NAME 12_2.L3(4).2_2
NAME 12_2.L3(4).2_3
NAME Isoclinic(12_2.L3(4).2_3)
NAME 2.L3(4)
NAME 2.L3(4).2_1
NAME Isoclinic(2.L3(4).2_1)
NAME 2.L3(4).2_2
NAME Isoclinic(2.L3(4).2_2)
NAME 2.L3(4).2_3
NAME Isoclinic(2.L3(4).2_3)
NAME 2.L3(4).(2^2)_{123}
NAME 2.L3(4).(2^2)_{1*23}
NAME 2.L3(4).(2^2)_{12*3}
NAME 2.L3(4).(2^2)_{123*}
NAME 2.L3(4).(2^2)_{1*2*3}
NAME 2.L3(4).(2^2)_{1*23*}
NAME 2.L3(4).(2^2)_{12*3*}
NAME 2.L3(4).(2^2)_{1*2*3*}
NAME 2^2.L3(4)
NAME (2x4).L3(4)
NAME 4^2.L3(4)
NAME (4^2x3).L3(4)
NAME 3.L3(4)
NAME 3.L3(4).2^2
NAME 3.L3(4).2_1
NAME 3.L3(4).2_2
NAME 3.L3(4).2_3
NAME 3.L3(4).3
NAME Isoclinic(3.L3(4).3,1)
NAME Isoclinic(3.L3(4).3,2)
NAME 3.L3(4).6
NAME Isoclinic(3.L3(4).6,1)
NAME Isoclinic(3.L3(4).6,2)
NAME 4_1.L3(4)
NAME 4_1.L3(4).2_1
NAME Isoclinic(4_1.L3(4).2_1)
NAME 4_1.L3(4).2_2
NAME Isoclinic(4_1.L3(4).2_2)
NAME 4_1.L3(4).2_3
NAME 4_1.L3(4).2_3*
NAME 4_1.L3(4).(2^2)_{123}
NAME 4_1.L3(4).(2^2)_{1*23}
NAME 4_1.L3(4).(2^2)_{12*3}
NAME 4_1.L3(4).(2^2)_{123*}
NAME 4_1.L3(4).(2^2)_{1*2*3}
NAME 4_1.L3(4).(2^2)_{1*23*}
NAME 4_1.L3(4).(2^2)_{12*3*}
NAME 4_1.L3(4).(2^2)_{1*2*3*}
NAME 4_2.L3(4)
NAME 4_2.L3(4).2_1
NAME Isoclinic(4_2.L3(4).2_1)
NAME 4_2.L3(4).2_2
NAME 4_2.L3(4).2_2*
NAME 4_2.L3(4).2_3
NAME Isoclinic(4_2.L3(4).2_3)
NAME 4_2.L3(4).(2^2)_{123}
NAME 4_2.L3(4).(2^2)_{1*23}
NAME 4_2.L3(4).(2^2)_{12*3}
NAME 4_2.L3(4).(2^2)_{123*}
NAME 4_2.L3(4).(2^2)_{1*2*3}
NAME 4_2.L3(4).(2^2)_{1*23*}
NAME 4_2.L3(4).(2^2)_{12*3*}
NAME 4_2.L3(4).(2^2)_{1*2*3*}
NAME 6.L3(4)
NAME 6.L3(4).2_1
NAME Isoclinic(6.L3(4).2_1)
NAME 6.L3(4).2_2
NAME Isoclinic(6.L3(4).2_2)
NAME 6.L3(4).2_3
NAME Isoclinic(6.L3(4).2_3)
NAME 6.L3(4).(2^2)_{123}
NAME 6.L3(4).(2^2)_{1*23}
NAME 6.L3(4).(2^2)_{12*3}
NAME 6.L3(4).(2^2)_{123*}
NAME 6.L3(4).(2^2)_{1*2*3}
NAME 6.L3(4).(2^2)_{1*23*}
NAME 6.L3(4).(2^2)_{12*3*}
NAME 6.L3(4).(2^2)_{1*2*3*}
NAME (2x12).L3(4)
NAME L3(4)
NAME L3(4).2^2
NAME U4(3).(2^2)_{133}M6
NAME L3(4).2_1
NAME L3(4).2_2
NAME L3(4).2_3
NAME L3(4).3
NAME L3(4).3.2_2
NAME L3(4).3.2_3
NAME L3(4).6
NAME L3(4).D12
NAME (2^2x3).L3(4)
NAME (2^2x3).L3(4).2_1
NAME (2^2x3).L3(4).2_2
NAME (2^2x3).L3(4).2_3
NAME (2^2x3).L3(4).3
NAME 2^2.L3(4).2_1
NAME 2^2.L3(4).2_2
NAME 2^2.L3(4).2_3
NAME 2^2.L3(4).3
NAME 2^2.L3(4).3.2_2
NAME 2^2.L3(4).3.2_3
NAME 3.L3(4).3.2_2
NAME 3.L3(4).3.2_3
NAME 2^2.L3(4).2^2
NAME 2^2.L3(4).6
NAME 2^2.L3(4).D12
NAME 2.L3(2)
NAME 2.L3(2).2
NAME Isoclinic(2.L3(2).2)
NAME 2F4(2)'M2
NAME 3.L3(7)
NAME 3.L3(7).2
NAME 3.L3(7).3
NAME Isoclinic(3.L3(7).3,1)
NAME Isoclinic(3.L3(7).3,2)
NAME 3.L3(7).S3
NAME L3(2)
NAME L3(2).2
NAME L3(3)
NAME L3(3).2
NAME G2(3)M6
NAME L3(5)
NAME L3(5).2
NAME L3(7)
NAME L3(7).2
NAME L3(7).3
NAME L3(7).S3
NAME L3(8)
NAME L3(8).2
NAME L3(8).3
NAME L3(8).6
NAME ONM2
NAME 2.L4(3)
NAME 2.L4(3).2_1
NAME Isoclinic(2.L4(3).2_1)
NAME 2.L4(3).2_2
NAME Isoclinic(2.L4(3).2_2)
NAME 2.L4(3).2_3
NAME Isoclinic(2.L4(3).2_3)
NAME L3(9)
NAME L3(9).2_1
NAME L3(9).2_2
NAME L3(9).2_3
NAME L3(9).2^2
NAME L4(3)
NAME L4(3).2_1
NAME L4(3).2_2
NAME L4(3).2_3
NAME L4(3).2^2
NAME L5(2)
NAME L5(2).2
NAME L6(2)
NAME L6(2).2
NAME L4(4)
NAME L4(4).2_1
NAME L4(4).2_2
NAME L4(4).2_3
NAME L4(4).2^2
NAME L7(2)
NAME L7(2).2
NAME L5(3)
NAME L5(3).2
NAME L2(37)
NAME L2(41)
