     ● G  GAP 4.16.1 of 2026-08-23
  ● ●  A  https://www.gap-system.org
     ● P  Architecture: x86_64-pc-linux-gnu-default64-kv11
 Configuration:  gmp 6.3.0, GASMAN, readline
 Loading the library and packages ...
 Packages:   AClib 1.4, Alnuth 4.0.2, AtlasRep 2.1.12, AutoDoc 2026.06.30, 
             AutPGrp 1.12.0, Browse 1.8.23, CaratInterface 2.3.11, 
             CRISP 1.4.11, Cryst 4.1.32, CrystCat 1.1.13, CTblLib 1.3.11, 
             FactInt 1.7.0, FGA 1.5.0, Forms 1.3.0, GAPDoc 1.6.10, 
             genss 1.6.10, IO 4.10.0, IRREDSOL 1.4.6, LAGUNA 3.10.1, 
             orb 5.1.0, PackageManager 1.6.4, Polenta 1.3.11, Polycyclic 2.18, 
             PrimGrp 4.0.3, RadiRoot 2.10, recog 1.5.1, ResClasses 4.7.4, 
             SmallGrp 1.7.0, Sophus 1.27, SpinSym 1.5.2, StandardFF 1.0, 
             TomLib 1.2.11, TransGrp 3.6.5, utils 0.98
 Try '??help' for help. See also '?copyright', '?cite' and '?authors'
BEGIN dimension=5 field=5
GROUP n=6 d=1 k=69 order=12288 cyclic=false affine_classes=592 ms=446
GROUP n=6 d=1 k=70 order=12288 cyclic=false affine_classes=386 ms=342
GROUP n=6 d=1 k=71 order=12288 cyclic=false affine_classes=544 ms=439
GROUP n=6 d=1 k=72 order=12288 cyclic=false affine_classes=371 ms=352
GROUP n=6 d=1 k=73 order=6144 cyclic=false affine_classes=799 ms=732
GROUP n=6 d=1 k=74 order=3072 cyclic=false affine_classes=602 ms=415
GROUP n=6 d=1 k=75 order=3072 cyclic=false affine_classes=560 ms=329
GROUP n=6 d=1 k=76 order=6144 cyclic=false affine_classes=752 ms=577
GROUP n=6 d=1 k=77 order=6144 cyclic=false affine_classes=340 ms=292
GROUP n=6 d=1 k=78 order=6144 cyclic=false affine_classes=752 ms=634
GROUP n=6 d=1 k=79 order=1536 cyclic=false affine_classes=376 ms=234
GROUP n=6 d=1 k=80 order=6144 cyclic=false affine_classes=398 ms=371
GROUP n=6 d=1 k=81 order=6144 cyclic=false affine_classes=370 ms=367
GROUP n=6 d=1 k=82 order=3072 cyclic=false affine_classes=436 ms=314
GROUP n=6 d=1 k=83 order=3072 cyclic=false affine_classes=284 ms=230
GROUP n=6 d=1 k=84 order=12288 cyclic=false affine_classes=640 ms=440
GROUP n=6 d=1 k=85 order=12288 cyclic=false affine_classes=592 ms=448
GROUP n=6 d=1 k=86 order=12288 cyclic=false affine_classes=344 ms=297
GROUP n=6 d=1 k=87 order=12288 cyclic=false affine_classes=308 ms=301
GROUP n=6 d=1 k=88 order=12288 cyclic=false affine_classes=640 ms=414
GROUP n=6 d=1 k=89 order=12288 cyclic=false affine_classes=592 ms=492
GROUP n=6 d=1 k=90 order=3072 cyclic=false affine_classes=392 ms=270
GROUP n=6 d=1 k=91 order=3072 cyclic=false affine_classes=332 ms=249
GROUP n=6 d=1 k=92 order=12288 cyclic=false affine_classes=448 ms=372
GROUP n=6 d=1 k=93 order=12288 cyclic=false affine_classes=400 ms=372
GROUP n=6 d=1 k=94 order=12288 cyclic=false affine_classes=419 ms=331
GROUP n=6 d=1 k=95 order=12288 cyclic=false affine_classes=374 ms=341
GROUP n=6 d=1 k=96 order=6144 cyclic=false affine_classes=440 ms=304
GROUP n=6 d=1 k=97 order=6144 cyclic=false affine_classes=368 ms=370
GROUP n=6 d=1 k=98 order=6144 cyclic=false affine_classes=298 ms=246
